x, y
-1.416403785488959, -0.0776349614395887
-0.62776025236593, -0.10848329048843197
0.16088328075709812, -0.6884318766066838
0.9495268138801269, -0.7994858611825193
1.7697160883280758, -0.719280205655527
2.589905362776025, -0.6082262210796916
3.3627760252365935, -0.26580976863753214
4.167192429022081, -0.1979434447300772
4.924290220820189, -0.23804627249357335
5.77602523659306, -0.2627249357326479
6.580441640378549, -0.29357326478149104
7.353312302839116, -0.2812339331619538
8.157728706624608, -0.3059125964010283